"tag","species","speciesShort","div","evalue","general_evalue","residues","foundPred","found_elsewhere","no_match","total","not_found_outside","total_checked"
"yeast","Saccharomyces_kudriavzevii","Skud",10,0.01,1e-05,1541416,801,14,4,819,266,"5997"
"yeast","Saccharomyces_arboricola","Sarb",15,0.01,1e-05,1821349,1321,13,1,1335,236,"5997"
"yeast","Naumovozyma_castellii","Ncas",66,0.01,1e-04,2768359,1066,68,12,1146,465,"5997"
"yeast","Naumovozyma_dairenensis","Ndai",66,0.01,1e-04,2869230,885,77,15,977,491,"5997"
"yeast","Kazachstania_naganishii","Knag",85,0.01,1e-04,2651790,1021,67,19,1107,516,"5997"
"yeast","Kazachstania_africana","Kafr",85,0.01,1e-04,2612781,1085,74,19,1178,515,"5997"
"yeast","Vanderwaltozyma_polyspora","Vpol",93,0.01,1e-04,2699859,565,161,28,754,576,"5997"
"yeast","Tetrapisispora_blattae","Tbla",93,0.01,1e-06,2915177,413,116,26,555,613,"5997"
"yeast","Tetrapisispora_phaffii","Tpha",93,0.01,1e-04,2676028,514,163,24,701,555,"5997"
"yeast","Torulaspora_delbrueckii","Tdel",97,0.01,1e-04,2413164,755,17,21,793,429,"5997"
"yeast","Candida_glabrata","Cgla",97,0.01,1e-04,2638384,1140,33,16,1189,645,"5997"
"yeast","Zygosaccharomyces_rouxii","Zrou",97,0.01,1e-10,2475779,650,18,15,683,583,"5997"
"yeast","Kluyveromyces_lactis","Klac",112,0.01,1e-04,2462503,597,12,27,636,554,"5997"
"yeast","Lachancea_thermotolerans","Lthe",112,0.01,1e-07,2500341,628,21,24,673,544,"5997"
"yeast","Eremothecium_cymbalariae","Ecym",112,0.01,1e-04,2155018,567,20,24,611,723,"5997"
"yeast","Ashbya_aceri","Aace",112,0.01,1e-04,2241677,637,37,30,704,754,"5997"
"yeast","Eremothecium_gossypii","Egos",112,0.01,1e-05,2335136,662,17,33,712,748,"5997"
"fruitfly","Drosophila_sechellia","Dsec",5.9,0.01,1e-12,7156856,4526,140,0,4666,71,"13929"
"fruitfly","Drosophila_simulans","Dsim",5.9,0.01,1e-10,16465802,5741,53,1,5795,51,"13929"
"fruitfly","Drosophila_erecta","Dere",11.4,0.01,1e-12,13137054,3280,49,1,3330,130,"13929"
"fruitfly","Drosophila_yakuba","Dyak",11.4,0.01,1e-06,15888688,3795,65,4,3864,113,"13929"
"fruitfly","Drosophila_ananassae","Dana",34,0.01,1e-08,14315668,2240,87,6,2333,340,"13929"
"fruitfly","Drosophila_persimilis","Dper",37,0.01,1e-10,7210695,1807,110,12,1929,549,"13929"
"fruitfly","Drosophila_pseudoobscura","Dpse",37,0.01,1e-07,15546183,1820,93,9,1922,520,"13929"
"fruitfly","Drosophila_mojavensis","Dmoj",50,0.01,1e-08,12994075,1452,82,15,1549,697,"13929"
"fruitfly","Drosophila_willistoni","Dwil",50,0.01,1e-08,12345355,1075,465,11,1551,612,"13929"
"fruitfly","Drosophila_grimshawi","Dgri",50,0.01,1e-07,7421049,1428,104,12,1544,820,"13929"
"fruitfly","Drosophila_virilis","Dvir",50,0.01,1e-07,13218471,1580,108,18,1706,663,"13929"
"fruitfly","Anopheles_gambiae","Agam",272,0.01,1e-12,7371687,47,35,3,85,2277,"13929"
"fruitfly","Aedes_aegypti","Aaeg",272,0.01,1e-12,8042165,64,84,9,157,2251,"13929"
"fruitfly","Bombyx_mori","Bmor",283,0.01,1e-18,5896633,16,32,5,53,2814,"13929"
"fruitfly","Tribolium_castaneum","Tcas",309,0.01,1e-16,11414197,20,33,6,59,2497,"13929"
"fruitfly","Apis_mellifera","Amel",325,0.01,1e-22,15287002,11,18,2,31,2843,"13929"
"human","Pan_troglodytes","Ptro",6.6,1e-04,1e-24,26542931,7139,213,1,7353,46,"19892"
"human","Gorilla_gorilla","Ggor",9,0.001,1e-24,23410691,6683,236,3,6922,38,"19892"
"human","Mus_musculus","Mmus",88,0.001,1e-09,27776671,4462,174,8,4644,291,"19892"
"human","Rattus_norvegicus","Rnor",90,0.001,1e-09,15223777,4337,220,9,4566,329,"19892"
"human","Bos_taurus","Btau",96,0.001,1e-09,11810778,5054,220,4,5278,313,"19892"
"human","Canis_familiaris","Cfam",96,0.001,1e-09,14523914,4630,248,11,4889,312,"19892"
"human","Felis_catus","Fcat",96,0.001,1e-09,17442442,4548,228,12,4788,308,"19892"
"human","Sus_scrofa","Sscr",96,0.001,1e-09,27202727,3065,180,3,3248,270,"19892"
"human","Anolis_carolinensis","Acar",312,0.001,1e-09,10143153,2462,197,26,2685,1309,"19892"
"human","Gallus_gallus","Ggal",312,0.001,1e-09,15323194,1963,115,23,2101,1323,"19892"
"human","Meleagris_gallopavo","Mgal",312,0.001,1e-09,8767330,2221,180,38,2439,1750,"19892"
"human","Taeniopygia_guttata","Tgut",312,0.001,1e-09,8165544,2476,202,27,2705,1765,"19892"
"human","Latimeria_chalumnae","Lcha",413,0.001,1e-09,12216722,1853,242,29,2124,1274,"19892"
"human","Danio_rerio","Drer",435,0.001,1e-09,26804682,823,239,23,1085,1318,"19892"
"human","Lepisosteus_oculatus","Locu",435,0.001,1e-09,13413099,1558,180,19,1757,1364,"19892"
